TRANSACTION_ID,BENEFICIARY_BANK_BIC,BIC_COUNTRY_CODE
22098,HSBCUS33,US
22169,DEUTDEFF,DE
22651,CHASUS33,US
23029,WFBIUS6S,US
23197,UBSWCHZH,CH
23314,DEUTDEFF,DE
23374,CITIUS33,US
24837,UBSWCHZH,CH
24857,CHASUS33,US
25014,HSBCUS33,US
25216,DEUTDEFF,DE
25489,UBSWCHZH,CH
25592,BNPAFRPP,FR
25659,CITIUS33,US
25734,BABOROBB,RO
25954,CHASUS33,US
26033,BOFAUS3N,US
26194,CITIUS33,US
26257,BABOROBB,RO
26476,UBSWCHZH,CH
26812,BABOROBB,RO
26953,DEUTDEFF,DE
26972,BOFAUS3N,US
27057,WFBIUS6S,US
27431,BOFAUS3N,US
27459,DEUTDEFF,DE
27915,CITIUS33,US
28052,WFBIUS6S,US
28057,SCBLSGSG,SG
28371,BABOROBB,RO
28379,BABOROBB,RO
28612,WFBIUS6S,US
28692,UBSWCHZH,CH
29174,SCBLSGSG,SG
29296,SCBLSGSG,SG
29371,UBSWCHZH,CH
29399,DEUTDEFF,DE
29755,BABOROBB,RO
29934,BNPAFRPP,FR
30311,BOFAUS3N,US
30449,UBSWCHZH,CH
30609,BNPAFRPP,FR
30969,BNPAFRPP,FR
31149,BOFAUS3N,US
31238,BOFAUS3N,US
31358,BNPAFRPP,FR
31392,SCBLSGSG,SG
31496,CITIUS33,US
31517,DEUTDEFF,DE
31614,DEUTDEFF,DE
31715,BABOROBB,RO
31938,CITIUS33,US
32369,WFBIUS6S,US
32430,DEUTDEFF,DE
32639,SCBLSGSG,SG
32869,BABOROBB,RO
32897,SCBLSGSG,SG
32957,UBSWCHZH,CH
33031,SCBLSGSG,SG
33357,UBSWCHZH,CH
33471,WFBIUS6S,US
33656,CHASUS33,US
34419,CHASUS33,US
34572,BNPAFRPP,FR
34773,SCBLSGSG,SG
34952,BABOROBB,RO
35033,BNPAFRPP,FR
35074,BNPAFRPP,FR
35335,WFBIUS6S,US
35492,BABOROBB,RO
35794,HSBCUS33,US
35817,DEUTDEFF,DE
35979,WFBIUS6S,US
36072,WFBIUS6S,US
36279,WFBIUS6S,US
36417,UBSWCHZH,CH
36516,UBSWCHZH,CH
36715,CHASUS33,US
37349,SCBLSGSG,SG
37354,BNPAFRPP,FR
37995,CHASUS33,US
38130,CITIUS33,US
38152,HSBCUS33,US
38415,WFBIUS6S,US
38497,BOFAUS3N,US
38558,SCBLSGSG,SG
38753,SCBLSGSG,SG
38794,HSBCUS33,US
38858,SCBLSGSG,SG
38978,HSBCUS33,US
39031,UBSWCHZH,CH
39075,UBSWCHZH,CH
39369,BNPAFRPP,FR
39474,BABOROBB,RO
39793,BOFAUS3N,US
39812,CHASUS33,US
39875,UBSWCHZH,CH
40050,HSBCUS33,US
40198,BOFAUS3N,US
40236,DEUTDEFF,DE
40250,CHASUS33,US
40251,BOFAUS3N,US
40369,HSBCUS33,US
40454,DEUTDEFF,DE
40491,BOFAUS3N,US
40539,CITIUS33,US
40571,BABOROBB,RO
40957,CITIUS33,US
40970,BNPAFRPP,FR
41096,UBSWCHZH,CH
41338,BOFAUS3N,US
41759,HSBCUS33,US
41796,HSBCUS33,US
41815,BOFAUS3N,US
41833,HSBCUS33,US
41851,SCBLSGSG,SG
41972,DEUTDEFF,DE
41976,SCBLSGSG,SG
41993,CITIUS33,US
42412,BOFAUS3N,US
42599,BOFAUS3N,US
42991,BOFAUS3N,US
43217,BNPAFRPP,FR
43477,SCBLSGSG,SG
43689,UBSWCHZH,CH
44017,CHASUS33,US
44034,CITIUS33,US
44169,BNPAFRPP,FR
44456,SCBLSGSG,SG
44572,UBSWCHZH,CH
44674,BOFAUS3N,US
44715,CITIUS33,US
44753,CHASUS33,US
44793,HSBCUS33,US
44811,CHASUS33,US
44832,BABOROBB,RO
44932,CHASUS33,US
45313,BABOROBB,RO
45535,BOFAUS3N,US
45633,BOFAUS3N,US
45850,BABOROBB,RO
45936,UBSWCHZH,CH
46219,BNPAFRPP,FR
46231,BOFAUS3N,US
46257,CHASUS33,US
46289,BOFAUS3N,US
46351,BOFAUS3N,US
46352,WFBIUS6S,US
46691,BOFAUS3N,US
46792,DEUTDEFF,DE
47093,SCBLSGSG,SG
47516,BNPAFRPP,FR
47529,HSBCUS33,US
47638,WFBIUS6S,US
47818,UBSWCHZH,CH
47819,DEUTDEFF,DE
47857,BABOROBB,RO
48119,CITIUS33,US
48132,SCBLSGSG,SG
48149,CHASUS33,US
48151,WFBIUS6S,US
48217,HSBCUS33,US
48299,HSBCUS33,US
48636,DEUTDEFF,DE
48649,CHASUS33,US
48876,BABOROBB,RO
49199,BOFAUS3N,US
49309,CITIUS33,US
49333,BABOROBB,RO
49611,BOFAUS3N,US
49699,HSBCUS33,US
49717,UBSWCHZH,CH
49798,BOFAUS3N,US
49832,CITIUS33,US
49991,BNPAFRPP,FR
50057,SCBLSGSG,SG
50292,WFBIUS6S,US
50496,BNPAFRPP,FR
50638,BABOROBB,RO
50911,BABOROBB,RO
51069,SCBLSGSG,SG
51794,DEUTDEFF,DE
51957,HSBCUS33,US
52073,BOFAUS3N,US
52154,BNPAFRPP,FR
52455,UBSWCHZH,CH
52475,BNPAFRPP,FR
53317,CHASUS33,US
53529,HSBCUS33,US
54336,CITIUS33,US
54889,UBSWCHZH,CH
54929,CITIUS33,US
54976,BABOROBB,RO
55012,BABOROBB,RO
55136,BABOROBB,RO
55138,BOFAUS3N,US
55159,WFBIUS6S,US
55352,CITIUS33,US
55429,CHASUS33,US
55454,BABOROBB,RO
55738,BABOROBB,RO
55830,UBSWCHZH,CH
55953,BABOROBB,RO
56037,BABOROBB,RO
56057,CITIUS33,US
75092,BABOROBB,RO
75156,CHASUS33,US
75475,UBSWCHZH,CH
75636,DEUTDEFF,DE
75675,WFBIUS6S,US
75989,CHASUS33,US
76057,CITIUS33,US
76338,CHASUS33,US
76769,CITIUS33,US
77055,WFBIUS6S,US
77079,CITIUS33,US
77256,BOFAUS3N,US
77492,BABOROBB,RO
77919,DEUTDEFF,DE
77929,BABOROBB,RO
78059,CHASUS33,US
78638,BABOROBB,RO
78651,WFBIUS6S,US
78715,CHASUS33,US
78789,UBSWCHZH,CH
78799,UBSWCHZH,CH
79215,BOFAUS3N,US
79339,UBSWCHZH,CH
79415,DEUTDEFF,DE
79450,BABOROBB,RO
79558,BOFAUS3N,US
79653,CHASUS33,US
79679,DEUTDEFF,DE
79755,DEUTDEFF,DE
79769,SCBLSGSG,SG
79811,BABOROBB,RO
79877,WFBIUS6S,US
80014,BNPAFRPP,FR
80219,WFBIUS6S,US
80355,CITIUS33,US
80758,DEUTDEFF,DE
80770,HSBCUS33,US
80819,SCBLSGSG,SG
80838,DEUTDEFF,DE
80870,BNPAFRPP,FR
80998,CHASUS33,US
81190,HSBCUS33,US
81273,UBSWCHZH,CH
81297,CITIUS33,US
81397,DEUTDEFF,DE
81450,CHASUS33,US
81630,SCBLSGSG,SG
81772,SCBLSGSG,SG
81874,SCBLSGSG,SG
81876,UBSWCHZH,CH
81930,BNPAFRPP,FR
82137,DEUTDEFF,DE
82194,WFBIUS6S,US
82631,BNPAFRPP,FR
82679,HSBCUS33,US
82709,WFBIUS6S,US
82896,BABOROBB,RO
82936,UBSWCHZH,CH
82978,BOFAUS3N,US
82998,CITIUS33,US
83450,DEUTDEFF,DE
83699,UBSWCHZH,CH
83819,BNPAFRPP,FR
84051,BABOROBB,RO
84071,DEUTDEFF,DE
84357,BOFAUS3N,US
84451,BNPAFRPP,FR
84490,UBSWCHZH,CH
84512,HSBCUS33,US
84631,BNPAFRPP,FR
84654,DEUTDEFF,DE
84852,BOFAUS3N,US
85398,BOFAUS3N,US
85931,BOFAUS3N,US
85996,DEUTDEFF,DE
86015,BNPAFRPP,FR
86255,UBSWCHZH,CH
86669,BNPAFRPP,FR
86699,UBSWCHZH,CH
86715,SCBLSGSG,SG
87254,BOFAUS3N,US
87359,CITIUS33,US
87656,BABOROBB,RO
87675,CHASUS33,US
87716,BOFAUS3N,US
87772,BOFAUS3N,US
88019,BABOROBB,RO
88033,WFBIUS6S,US
88190,UBSWCHZH,CH
88250,SCBLSGSG,SG
88418,CHASUS33,US
88499,BNPAFRPP,FR
88593,CHASUS33,US
88714,BABOROBB,RO
88739,SCBLSGSG,SG
88872,CITIUS33,US
89456,BABOROBB,RO
89531,UBSWCHZH,CH
89553,BNPAFRPP,FR
89576,BABOROBB,RO
89758,HSBCUS33,US
89874,WFBIUS6S,US
90095,BABOROBB,RO
90318,BOFAUS3N,US
90549,CHASUS33,US
90611,WFBIUS6S,US
90619,CITIUS33,US
90638,WFBIUS6S,US
90639,BNPAFRPP,FR
90894,DEUTDEFF,DE
91236,UBSWCHZH,CH
91271,DEUTDEFF,DE
91370,BABOROBB,RO
91569,UBSWCHZH,CH
91592,WFBIUS6S,US
91635,HSBCUS33,US
91669,UBSWCHZH,CH
91699,WFBIUS6S,US
91733,WFBIUS6S,US
91819,CITIUS33,US
92049,UBSWCHZH,CH
92073,WFBIUS6S,US
92235,CHASUS33,US
92252,CITIUS33,US
92293,DEUTDEFF,DE
92314,WFBIUS6S,US
92651,SCBLSGSG,SG
92738,CITIUS33,US
92835,DEUTDEFF,DE
92993,UBSWCHZH,CH
93111,BNPAFRPP,FR
93615,CITIUS33,US
93669,DEUTDEFF,DE
131258,HSBCUS33,US
131432,BNPAFRPP,FR
131455,WFBIUS6S,US
131793,WFBIUS6S,US
131850,CHASUS33,US
131875,BNPAFRPP,FR
131955,BABOROBB,RO
132009,CITIUS33,US
132219,WFBIUS6S,US
132453,CHASUS33,US
132515,BNPAFRPP,FR
132591,CITIUS33,US
132611,WFBIUS6S,US
132719,UBSWCHZH,CH
133015,UBSWCHZH,CH
133051,BNPAFRPP,FR
133055,SCBLSGSG,SG
133291,CITIUS33,US
133315,BNPAFRPP,FR
133393,UBSWCHZH,CH
133411,SCBLSGSG,SG
133471,HSBCUS33,US
134777,BABOROBB,RO
136049,CHASUS33,US
136193,BABOROBB,RO
136214,CITIUS33,US
136839,HSBCUS33,US
136877,UBSWCHZH,CH
137092,BABOROBB,RO
137234,UBSWCHZH,CH
139131,DEUTDEFF,DE
140239,BOFAUS3N,US
142379,BOFAUS3N,US
142511,DEUTDEFF,DE
143194,BNPAFRPP,FR
145217,WFBIUS6S,US
146451,UBSWCHZH,CH
146830,BOFAUS3N,US
147216,WFBIUS6S,US
148372,DEUTDEFF,DE
112649,WFBIUS6S,US
114616,BABOROBB,RO
114670,WFBIUS6S,US
115716,UBSWCHZH,CH
115811,HSBCUS33,US
117997,SCBLSGSG,SG
118139,HSBCUS33,US
118629,BNPAFRPP,FR
119455,UBSWCHZH,CH
119652,SCBLSGSG,SG
120913,BNPAFRPP,FR
121858,HSBCUS33,US
122269,BNPAFRPP,FR
123271,BNPAFRPP,FR
123331,BNPAFRPP,FR
124054,BNPAFRPP,FR
124159,CHASUS33,US
126156,SCBLSGSG,SG
126237,BABOROBB,RO
127349,CHASUS33,US
128572,BOFAUS3N,US
129136,WFBIUS6S,US
56550,BNPAFRPP,FR
57216,UBSWCHZH,CH
63459,CHASUS33,US
67973,BNPAFRPP,FR
69877,HSBCUS33,US
70376,CITIUS33,US
71953,WFBIUS6S,US
72495,WFBIUS6S,US
73155,BABOROBB,RO
73169,BABOROBB,RO
74489,SCBLSGSG,SG
94791,CITIUS33,US
97039,HSBCUS33,US
99390,CITIUS33,US
99732,BNPAFRPP,FR
101390,CHASUS33,US
102915,DEUTDEFF,DE
103833,CITIUS33,US
103916,HSBCUS33,US
106313,WFBIUS6S,US
107313,DEUTDEFF,DE
107493,HSBCUS33,US
108376,WFBIUS6S,US
108419,DEUTDEFF,DE
108676,CITIUS33,US
109099,BABOROBB,RO
109730,HSBCUS33,US
110339,BOFAUS3N,US
31,BNPAFRPP,FR
416,HSBCUS33,US
516,CHASUS33,US
1695,BABOROBB,RO
1833,WFBIUS6S,US
1917,BOFAUS3N,US
1935,SCBLSGSG,SG
2358,BABOROBB,RO
2372,WFBIUS6S,US
2414,UBSWCHZH,CH
2454,SCBLSGSG,SG
2490,DEUTDEFF,DE
9358,CITIUS33,US
9470,DEUTDEFF,DE
9770,DEUTDEFF,DE
10074,SCBLSGSG,SG
10673,WFBIUS6S,US
11018,BABOROBB,RO
11211,UBSWCHZH,CH
11619,DEUTDEFF,DE
11634,BOFAUS3N,US
11729,BOFAUS3N,US
12236,BNPAFRPP,FR
12958,SCBLSGSG,SG
13416,BNPAFRPP,FR
13452,BABOROBB,RO
13511,WFBIUS6S,US
13616,CHASUS33,US
13649,WFBIUS6S,US
13813,BOFAUS3N,US
14058,WFBIUS6S,US
14155,UBSWCHZH,CH
14217,CITIUS33,US
14494,CITIUS33,US
14509,BNPAFRPP,FR
14514,BABOROBB,RO
14779,CITIUS33,US
14796,BOFAUS3N,US
14950,CHASUS33,US
15136,SCBLSGSG,SG
15491,DEUTDEFF,DE
16135,BNPAFRPP,FR
16369,HSBCUS33,US
16533,CITIUS33,US
16613,CITIUS33,US
17251,CITIUS33,US
17339,HSBCUS33,US
17451,WFBIUS6S,US
17475,BABOROBB,RO
17495,UBSWCHZH,CH
17573,BNPAFRPP,FR
17877,BNPAFRPP,FR
17889,DEUTDEFF,DE
17978,UBSWCHZH,CH
18091,SCBLSGSG,SG
18119,CHASUS33,US
18196,WFBIUS6S,US
18556,CITIUS33,US
18694,SCBLSGSG,SG
18849,WFBIUS6S,US
18990,UBSWCHZH,CH
19098,BOFAUS3N,US
19497,CITIUS33,US
19532,SCBLSGSG,SG
19776,HSBCUS33,US
19895,SCBLSGSG,SG
19974,BABOROBB,RO
20131,BOFAUS3N,US
20532,UBSWCHZH,CH
20834,BABOROBB,RO
133478,CHASUS33,US
133553,SCBLSGSG,SG
133679,CHASUS33,US
133811,BOFAUS3N,US
133952,SCBLSGSG,SG
134217,DEUTDEFF,DE
134337,CITIUS33,US
134639,DEUTDEFF,DE
135137,UBSWCHZH,CH
135356,WFBIUS6S,US
135531,DEUTDEFF,DE
135698,DEUTDEFF,DE
135792,BABOROBB,RO
136093,DEUTDEFF,DE
136117,HSBCUS33,US
136191,CHASUS33,US
136259,CHASUS33,US
136318,DEUTDEFF,DE
136518,HSBCUS33,US
136571,DEUTDEFF,DE
136630,CITIUS33,US
136751,BOFAUS3N,US
137114,WFBIUS6S,US
137199,DEUTDEFF,DE
137316,CHASUS33,US
137436,HSBCUS33,US
137650,DEUTDEFF,DE
137714,HSBCUS33,US
137914,WFBIUS6S,US
138713,BOFAUS3N,US
138916,WFBIUS6S,US
139271,BOFAUS3N,US
139419,BNPAFRPP,FR
139436,CITIUS33,US
139619,UBSWCHZH,CH
139714,BNPAFRPP,FR
140070,UBSWCHZH,CH
140271,BNPAFRPP,FR
140295,SCBLSGSG,SG
140436,BABOROBB,RO
140538,WFBIUS6S,US
140570,CHASUS33,US
140853,DEUTDEFF,DE
140875,HSBCUS33,US
140954,UBSWCHZH,CH
141053,UBSWCHZH,CH
141254,BOFAUS3N,US
141492,DEUTDEFF,DE
141514,BABOROBB,RO
141672,BABOROBB,RO
141711,CHASUS33,US
141873,BNPAFRPP,FR
142076,BOFAUS3N,US
142171,HSBCUS33,US
142173,UBSWCHZH,CH
142911,SCBLSGSG,SG
143093,BABOROBB,RO
143234,UBSWCHZH,CH
144111,CHASUS33,US
144492,BABOROBB,RO
144572,SCBLSGSG,SG
144634,SCBLSGSG,SG
144953,HSBCUS33,US
145013,BNPAFRPP,FR
145296,CHASUS33,US
145513,HSBCUS33,US
145557,WFBIUS6S,US
145958,WFBIUS6S,US
146076,BABOROBB,RO
146153,WFBIUS6S,US
146370,CHASUS33,US
146517,HSBCUS33,US
146735,BNPAFRPP,FR
146779,BABOROBB,RO
147917,BABOROBB,RO
147919,SCBLSGSG,SG
148016,WFBIUS6S,US
148019,BABOROBB,RO
148134,BNPAFRPP,FR
148654,BOFAUS3N,US
148771,BOFAUS3N,US
149131,WFBIUS6S,US
149159,SCBLSGSG,SG
149455,CHASUS33,US
149794,CHASUS33,US
112512,HSBCUS33,US
112552,BABOROBB,RO
112919,WFBIUS6S,US
113259,BNPAFRPP,FR
113297,CHASUS33,US
113490,BOFAUS3N,US
113637,UBSWCHZH,CH
114371,CHASUS33,US
114431,BABOROBB,RO
114496,DEUTDEFF,DE
114519,BOFAUS3N,US
114539,WFBIUS6S,US
114759,CITIUS33,US
114909,BABOROBB,RO
115031,BOFAUS3N,US
115076,HSBCUS33,US
115259,DEUTDEFF,DE
115578,BABOROBB,RO
115610,BNPAFRPP,FR
115776,DEUTDEFF,DE
115793,BNPAFRPP,FR
116094,BNPAFRPP,FR
116349,BOFAUS3N,US
116437,CITIUS33,US
116779,UBSWCHZH,CH
116816,CITIUS33,US
117078,SCBLSGSG,SG
117137,SCBLSGSG,SG
117298,CHASUS33,US
117316,CHASUS33,US
117391,HSBCUS33,US
117471,CHASUS33,US
117550,UBSWCHZH,CH
117619,CITIUS33,US
117814,CHASUS33,US
117910,CITIUS33,US
117952,BOFAUS3N,US
118294,UBSWCHZH,CH
118295,DEUTDEFF,DE
118317,SCBLSGSG,SG
118412,CITIUS33,US
118578,SCBLSGSG,SG
118693,UBSWCHZH,CH
118939,BNPAFRPP,FR
119311,BOFAUS3N,US
119329,SCBLSGSG,SG
119457,WFBIUS6S,US
119639,CITIUS33,US
119834,BABOROBB,RO
119897,UBSWCHZH,CH
120511,BNPAFRPP,FR
120671,BABOROBB,RO
120696,CITIUS33,US
120833,BOFAUS3N,US
121092,DEUTDEFF,DE
121492,UBSWCHZH,CH
121597,WFBIUS6S,US
121698,DEUTDEFF,DE
121811,BNPAFRPP,FR
121891,CHASUS33,US
121939,UBSWCHZH,CH
122095,CHASUS33,US
122313,BOFAUS3N,US
122693,DEUTDEFF,DE
122872,BNPAFRPP,FR
123031,BNPAFRPP,FR
123476,CITIUS33,US
123718,BOFAUS3N,US
123809,CHASUS33,US
123929,CITIUS33,US
124019,DEUTDEFF,DE
124194,WFBIUS6S,US
124375,CHASUS33,US
124571,DEUTDEFF,DE
124658,DEUTDEFF,DE
125096,CITIUS33,US
125113,DEUTDEFF,DE
125214,CHASUS33,US
125259,BNPAFRPP,FR
125355,BABOROBB,RO
125812,CITIUS33,US
126058,CITIUS33,US
126113,WFBIUS6S,US
126330,WFBIUS6S,US
126358,WFBIUS6S,US
126395,WFBIUS6S,US
127173,UBSWCHZH,CH
127195,HSBCUS33,US
127235,UBSWCHZH,CH
127318,UBSWCHZH,CH
127549,WFBIUS6S,US
128090,WFBIUS6S,US
128355,BABOROBB,RO
128538,CITIUS33,US
128758,UBSWCHZH,CH
128879,BOFAUS3N,US
128932,DEUTDEFF,DE
128990,BABOROBB,RO
129037,CITIUS33,US
129139,SCBLSGSG,SG
129175,BNPAFRPP,FR
129190,BABOROBB,RO
129695,BABOROBB,RO
129732,DEUTDEFF,DE
129759,WFBIUS6S,US
130050,BOFAUS3N,US
130076,DEUTDEFF,DE
130255,BABOROBB,RO
130591,CHASUS33,US
130649,BABOROBB,RO
130672,CHASUS33,US
130795,BOFAUS3N,US
131131,DEUTDEFF,DE
131157,BOFAUS3N,US
57038,SCBLSGSG,SG
57050,UBSWCHZH,CH
57392,WFBIUS6S,US
57754,CITIUS33,US
57759,WFBIUS6S,US
57809,WFBIUS6S,US
57874,WFBIUS6S,US
58299,SCBLSGSG,SG
58599,CHASUS33,US
58977,UBSWCHZH,CH
58979,BNPAFRPP,FR
59095,HSBCUS33,US
59379,WFBIUS6S,US
59459,DEUTDEFF,DE
59717,BNPAFRPP,FR
59769,SCBLSGSG,SG
59779,CHASUS33,US
59791,BABOROBB,RO
60099,SCBLSGSG,SG
60274,HSBCUS33,US
60299,CITIUS33,US
60955,BABOROBB,RO
61276,BNPAFRPP,FR
61529,SCBLSGSG,SG
61537,BOFAUS3N,US
62018,SCBLSGSG,SG
62170,CHASUS33,US
62274,CITIUS33,US
62375,CHASUS33,US
62389,BNPAFRPP,FR
62449,CHASUS33,US
63012,HSBCUS33,US
63730,SCBLSGSG,SG
63810,CITIUS33,US
63969,UBSWCHZH,CH
64093,UBSWCHZH,CH
64197,HSBCUS33,US
64372,SCBLSGSG,SG
64379,UBSWCHZH,CH
64791,HSBCUS33,US
64797,WFBIUS6S,US
64930,UBSWCHZH,CH
65010,SCBLSGSG,SG
65118,HSBCUS33,US
65251,BOFAUS3N,US
65337,WFBIUS6S,US
65692,BOFAUS3N,US
65712,CITIUS33,US
65714,BOFAUS3N,US
65814,BNPAFRPP,FR
66529,CITIUS33,US
66531,BNPAFRPP,FR
66599,HSBCUS33,US
66657,SCBLSGSG,SG
66730,DEUTDEFF,DE
66789,CHASUS33,US
66949,BNPAFRPP,FR
67054,UBSWCHZH,CH
67097,BABOROBB,RO
67411,BABOROBB,RO
67456,BNPAFRPP,FR
67532,BNPAFRPP,FR
67617,HSBCUS33,US
68238,WFBIUS6S,US
68310,DEUTDEFF,DE
68331,HSBCUS33,US
68458,HSBCUS33,US
68519,BOFAUS3N,US
68654,BABOROBB,RO
68692,BOFAUS3N,US
68711,BOFAUS3N,US
68834,CITIUS33,US
69038,HSBCUS33,US
69379,BABOROBB,RO
69457,WFBIUS6S,US
69493,BABOROBB,RO
69570,HSBCUS33,US
69630,CITIUS33,US
69772,DEUTDEFF,DE
69799,BOFAUS3N,US
69814,WFBIUS6S,US
69895,BNPAFRPP,FR
69957,BABOROBB,RO
70191,SCBLSGSG,SG
70215,UBSWCHZH,CH
70793,BABOROBB,RO
70799,SCBLSGSG,SG
70816,WFBIUS6S,US
71036,BOFAUS3N,US
71230,BABOROBB,RO
71431,HSBCUS33,US
71519,BOFAUS3N,US
71530,SCBLSGSG,SG
71535,BABOROBB,RO
71611,CITIUS33,US
71639,CITIUS33,US
71751,DEUTDEFF,DE
71909,UBSWCHZH,CH
72052,CHASUS33,US
72058,DEUTDEFF,DE
72199,BOFAUS3N,US
72739,CHASUS33,US
72970,CHASUS33,US
73031,WFBIUS6S,US
73316,BNPAFRPP,FR
73369,SCBLSGSG,SG
73738,SCBLSGSG,SG
73856,BABOROBB,RO
74038,BOFAUS3N,US
74076,UBSWCHZH,CH
74156,WFBIUS6S,US
74358,BABOROBB,RO
74449,WFBIUS6S,US
74879,CITIUS33,US
93899,BABOROBB,RO
94216,CITIUS33,US
94269,BNPAFRPP,FR
94356,CITIUS33,US
94358,UBSWCHZH,CH
95190,BOFAUS3N,US
95312,BOFAUS3N,US
95435,BOFAUS3N,US
95633,BOFAUS3N,US
95735,UBSWCHZH,CH
95739,WFBIUS6S,US
95916,CHASUS33,US
96012,DEUTDEFF,DE
96415,BNPAFRPP,FR
96531,UBSWCHZH,CH
96736,BABOROBB,RO
97299,BNPAFRPP,FR
97372,HSBCUS33,US
97479,CHASUS33,US
97733,SCBLSGSG,SG
97890,SCBLSGSG,SG
97898,DEUTDEFF,DE
97933,HSBCUS33,US
98155,SCBLSGSG,SG
98777,HSBCUS33,US
98779,WFBIUS6S,US
98913,UBSWCHZH,CH
99014,BOFAUS3N,US
99033,CITIUS33,US
99137,BOFAUS3N,US
99299,DEUTDEFF,DE
99619,WFBIUS6S,US
99652,BABOROBB,RO
99773,WFBIUS6S,US
100032,BABOROBB,RO
100037,UBSWCHZH,CH
101854,BABOROBB,RO
101915,BNPAFRPP,FR
102797,UBSWCHZH,CH
107130,UBSWCHZH,CH
108311,BABOROBB,RO
111376,WFBIUS6S,US
23530,UBSWCHZH,CH
23673,CHASUS33,US
24012,CHASUS33,US
24578,CITIUS33,US
24579,BABOROBB,RO
4979,BNPAFRPP,FR
5536,BNPAFRPP,FR
16478,BNPAFRPP,FR
19753,BNPAFRPP,FR
20458,BNPAFRPP,FR
32169,BNPAFRPP,FR
43036,BNPAFRPP,FR
78572,BNPAFRPP,FR
82957,BNPAFRPP,FR
85914,BNPAFRPP,FR
88331,BNPAFRPP,FR
89479,BNPAFRPP,FR
134932,BNPAFRPP,FR
139976,BNPAFRPP,FR
142730,BNPAFRPP,FR
147678,BNPAFRPP,FR
117614,BNPAFRPP,FR
120275,BNPAFRPP,FR
124670,BNPAFRPP,FR
129889,BNPAFRPP,FR
67834,BNPAFRPP,FR
98173,BNPAFRPP,FR
100051,CITIUS33,US
100150,HSBCUS33,US
100152,BABOROBB,RO
100192,BOFAUS3N,US
100434,SCBLSGSG,SG
100499,HSBCUS33,US
100595,UBSWCHZH,CH
100815,CHASUS33,US
102199,SCBLSGSG,SG
102216,BABOROBB,RO
102255,UBSWCHZH,CH
102272,WFBIUS6S,US
102335,CHASUS33,US
102498,BOFAUS3N,US
103033,BABOROBB,RO
103079,HSBCUS33,US
103156,CHASUS33,US
103309,DEUTDEFF,DE
103412,SCBLSGSG,SG
103737,BNPAFRPP,FR
103911,BOFAUS3N,US
104033,HSBCUS33,US
104212,CITIUS33,US
104299,CITIUS33,US
104349,CITIUS33,US
104359,CHASUS33,US
104715,DEUTDEFF,DE
104812,BOFAUS3N,US
104859,BOFAUS3N,US
104893,CITIUS33,US
105152,CITIUS33,US
105155,CHASUS33,US
105393,SCBLSGSG,SG
105496,BABOROBB,RO
106169,WFBIUS6S,US
106212,SCBLSGSG,SG
106393,BNPAFRPP,FR
106433,BNPAFRPP,FR
106839,BABOROBB,RO
106849,BOFAUS3N,US
107031,UBSWCHZH,CH
107252,CHASUS33,US
107611,SCBLSGSG,SG
107775,WFBIUS6S,US
108113,HSBCUS33,US
108279,BNPAFRPP,FR
108495,CHASUS33,US
108711,BOFAUS3N,US
108714,BNPAFRPP,FR
108734,BABOROBB,RO
109019,CITIUS33,US
109131,CHASUS33,US
109296,UBSWCHZH,CH
109536,BNPAFRPP,FR
109556,HSBCUS33,US
109594,BOFAUS3N,US
