RULE_ID,RULE_CODE,RULE_NAME,RULE_DESCRIPTION,RULE_CATEGORY,RULE_LOGIC,THRESHOLD_VALUE,THRESHOLD_CURRENCY,TIME_WINDOW_HOURS,ALERT_PRIORITY,RISK_SCORE_IMPACT,IS_ACTIVE,EFFECTIVE_DATE,EXPIRY_DATE,CREATED_BY,CREATED_AT,UPDATED_AT
165,PA015,PATTERN Rule 15,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
166,VE016,VELOCITY Rule 16,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
167,TH017,THRESHOLD Rule 17,Screening rule for THRESHOLD detection,THRESHOLD,{},10000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
168,TH018,THRESHOLD Rule 18,Screening rule for THRESHOLD detection,THRESHOLD,{},60000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
169,TH019,THRESHOLD Rule 19,Screening rule for THRESHOLD detection,THRESHOLD,{},60000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
170,VE020,VELOCITY Rule 20,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
171,TH021,THRESHOLD Rule 21,Screening rule for THRESHOLD detection,THRESHOLD,{},70000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
172,VE022,VELOCITY Rule 22,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
173,VE023,VELOCITY Rule 23,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
174,PA024,PATTERN Rule 24,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
175,GE025,GEOGRAPHY Rule 25,Screening rule for GEOGRAPHY detection,GEOGRAPHY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
176,TH026,THRESHOLD Rule 26,Screening rule for THRESHOLD detection,THRESHOLD,{},30000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
177,PA027,PATTERN Rule 27,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
178,PA028,PATTERN Rule 28,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
179,TH029,THRESHOLD Rule 29,Screening rule for THRESHOLD detection,THRESHOLD,{},90000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
180,TH030,THRESHOLD Rule 30,Screening rule for THRESHOLD detection,THRESHOLD,{},100000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
181,VE031,VELOCITY Rule 31,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
182,TH032,THRESHOLD Rule 32,Screening rule for THRESHOLD detection,THRESHOLD,{},90000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
183,PA033,PATTERN Rule 33,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
184,PA034,PATTERN Rule 34,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
185,TH035,THRESHOLD Rule 35,Screening rule for THRESHOLD detection,THRESHOLD,{},70000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
186,PA036,PATTERN Rule 36,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
187,GE037,GEOGRAPHY Rule 37,Screening rule for GEOGRAPHY detection,GEOGRAPHY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
188,VE038,VELOCITY Rule 38,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
189,VE039,VELOCITY Rule 39,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
190,TH040,THRESHOLD Rule 40,Screening rule for THRESHOLD detection,THRESHOLD,{},100000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
191,VE041,VELOCITY Rule 41,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
192,TH042,THRESHOLD Rule 42,Screening rule for THRESHOLD detection,THRESHOLD,{},100000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
193,TH043,THRESHOLD Rule 43,Screening rule for THRESHOLD detection,THRESHOLD,{},60000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
194,PA044,PATTERN Rule 44,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
195,TH045,THRESHOLD Rule 45,Screening rule for THRESHOLD detection,THRESHOLD,{},20000,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
196,VE046,VELOCITY Rule 46,Screening rule for VELOCITY detection,VELOCITY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
197,PA047,PATTERN Rule 47,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
198,GE048,GEOGRAPHY Rule 48,Screening rule for GEOGRAPHY detection,GEOGRAPHY,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
199,PA049,PATTERN Rule 49,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
200,PA050,PATTERN Rule 50,Screening rule for PATTERN detection,PATTERN,{},,USD,,HIGH,10,True,2025-06-24,,system_admin,2026-06-24 16:17:32,2026-06-24 16:17:32
